Req ID,Phase,Section,Subsection,Requirement,PoC Clause Reference,Status,Implementation Notes
P0-1.1,Phase 0 - PoC 1,API Integration & Data Extraction,Setup,"Obtain AlayaCare API documentation and sandbox access (via Dovida)","PoC 1 > Features and activities > API Integration & Data Extraction > bullet 1",DONE,"Mock server at mock-alaya.vercel.app; ALAYACARE_API_URL env var"
P0-1.2,Phase 0 - PoC 1,API Integration & Data Extraction,Read Operations,"Map read operations needed: caregiver availability, skills, shift assignments, check-in events, status updates","PoC 1 > Features and activities > API Integration & Data Extraction > bullet 2",DONE,"src/lib/alayacare-client.ts — GET endpoints for clients, employees, skills, visits, offers"
P0-1.3,Phase 0 - PoC 1,API Integration & Data Extraction,Write Operations,"Map write operations needed: shift assignments, status updates","PoC 1 > Features and activities > API Integration & Data Extraction > bullet 2",DONE,"POST /api/v1/visits (create shift), POST /api/v1/visits/[id]/offers (assign caregiver)"
P0-1.4,Phase 0 - PoC 1,API Integration & Data Extraction,Authentication,"Test authentication, webhooks, and rate limits — authentication","PoC 1 > Features and activities > API Integration & Data Extraction > bullet 3",DONE,"Basic auth via ALAYACARE_PUBLIC_KEY/ALAYACARE_PRIVATE_KEY; getRequiredEnv() fails fast"
P0-1.5,Phase 0 - PoC 1,API Integration & Data Extraction,Webhooks,"Test authentication, webhooks, and rate limits — webhooks","PoC 1 > Features and activities > API Integration & Data Extraction > bullet 3",PARTIAL,"POST /api/v1/webhooks/alayacare — M2M auth, idempotent, 9 event types, 7 handlers"
P0-1.6,Phase 0 - PoC 1,API Integration & Data Extraction,Rate Limits,"Test authentication, webhooks, and rate limits — rate limits","PoC 1 > Features and activities > API Integration & Data Extraction > bullet 3",NOT STARTED,"Needs real AlayaCare sandbox access"
P0-1.7,Phase 0 - PoC 1,API Integration & Data Extraction,Sample Dataset,"Extract sample dataset: 30-50 recent shifts, 150 caregiver profiles, client requirements, historical outcomes","PoC 1 > Features and activities > API Integration & Data Extraction > bullet 4",DONE,"src/test/fixtures/ — 150 employees, 55 visits, ~800 offers, 10 skill types"
P0-1.8,Phase 0 - PoC 1,API Integration & Data Extraction,Data Quality,"Validate data completeness and document quality issues","PoC 1 > Features and activities > API Integration & Data Extraction > bullet 5",DONE,"docs/poc1-edge-cases.md — 6 data quality categories, 5 API limitations, 4 error scenarios"
P0-2.1,Phase 0 - PoC 1,Scoring Dimensions Prototype,Prototype,"Build working prototype that calculates match scores for real shift scenarios","PoC 1 > Features and activities > Scoring dimensions prototype > bullet 1",DONE,"src/services/scoring/compute-match.ts — WSM orchestrator: fetch → filter → score → rank"
P0-2.2,Phase 0 - PoC 1,Scoring Dimensions Prototype,Dimension 1,"Dimension 1: skills and qualifications match","PoC 1 > Features and activities > Scoring dimensions prototype > bullet 2",DONE,"src/services/scoring/score-skills.ts — valid_matched / required_count with hard constraint filter"
P0-2.3,Phase 0 - PoC 1,Scoring Dimensions Prototype,Dimension 2,"Dimension 2: client relationship history","PoC 1 > Features and activities > Scoring dimensions prototype > bullet 3",DONE,"src/services/scoring/score-relationship.ts — logarithmic ln(count+1)/ln(20) × recency multiplier"
P0-2.4,Phase 0 - PoC 1,Scoring Dimensions Prototype,Dimension 3,"Dimension 3: geographic proximity","PoC 1 > Features and activities > Scoring dimensions prototype > bullet 4",DONE,"src/services/scoring/score-proximity.ts — Haversine distance, linear decay max(0, 1 - d/50km)"
P0-2.5,Phase 0 - PoC 1,Scoring Dimensions Prototype,Dimension 4,"Dimension 4: workload balance","PoC 1 > Features and activities > Scoring dimensions prototype > bullet 5",DONE,"src/services/scoring/score-workload.ts — Gaussian exp(-0.5×z²) with 1.5× overload penalty"
P0-2.6,Phase 0 - PoC 1,Scoring Dimensions Prototype,Dimension 5,"Dimension 5: acceptance likelihood","PoC 1 > Features and activities > Scoring dimensions prototype > bullet 6",DONE,"src/services/scoring/score-acceptance.ts — accepted / (accepted + declined), pending ignored"
P0-2.7,Phase 0 - PoC 1,Scoring Dimensions Prototype,Weighting,"Test different weighting strategies (equal, continuity-heavy, efficiency-heavy)","PoC 1 > Features and activities > Scoring dimensions prototype > bullet 7",DONE,"src/services/scoring/weights.ts — 5 presets: planned, urgent, high_value_client, new_client, efficiency"
P0-2.8,Phase 0 - PoC 1,Scoring Dimensions Prototype,Shortlist,"Generate ranked shortlist of top 10 caregivers for each test shift","PoC 1 > Features and activities > Scoring dimensions prototype > bullet 8",DONE,"POST /api/v1/visits/[id]/match — configurable limit (1–50, default 10)"
P0-2.9,Phase 0 - PoC 1,Scoring Dimensions Prototype,Comparison,"Compare rankings against human rostering staff's actual choices","PoC 1 > Features and activities > Scoring dimensions prototype > bullet 9",DONE,"comparison-report.test.ts → docs/comparison-report.json — 32 scenarios, 32/32 expectations met"
P0-3.1,Phase 0 - PoC 1,Core Integration Workflows,Query Workflow,"Query workflow: Find all available caregivers for [client] on [date/time] with [qualifications] with full scoring","PoC 1 > Features and activities > Core integration workflows > bullet 1a",DONE,"POST /api/v1/availability — accepts client_id + date, finds visits, scores against first match"
P0-3.2,Phase 0 - PoC 1,Core Integration Workflows,Assignment Workflow,"Assignment workflow: Assign [caregiver] to [shift] and send notification","PoC 1 > Features and activities > Core integration workflows > bullet 1b",PARTIAL,"Match → select → offer workflow tested; no real SMS/email notification yet"
P0-3.3,Phase 0 - PoC 1,Core Integration Workflows,Status Monitoring,"Status monitoring workflow: Check shift status and respond to check-in events","PoC 1 > Features and activities > Core integration workflows > bullet 1c",PARTIAL,"VisitDetailCard + getShiftStatus() + webhook receiver; no real-time polling yet"
P0-3.4,Phase 0 - PoC 1,Core Integration Workflows,Response Times,"Test API response times and rate limits","PoC 1 > Features and activities > Core integration workflows > bullet 2",NOT STARTED,"Needs real AlayaCare sandbox access"
P0-3.5,Phase 0 - PoC 1,Core Integration Workflows,Data Validation,"Validate data completeness and quality from API responses","PoC 1 > Features and activities > Core integration workflows > bullet 3",DONE,"computeMatch generates data quality warnings; docs/poc1-edge-cases.md"
P0-3.6,Phase 0 - PoC 1,Core Integration Workflows,Edge Cases,"Document edge cases: conflicting updates, API downtime, malformed data","PoC 1 > Features and activities > Core integration workflows > bullet 4",DONE,"docs/poc1-edge-cases.md — 6 data quality, 5 API limitations, 4 error scenarios"
P0-3.7,Phase 0 - PoC 1,Core Integration Workflows,Security,"Assess security, compliance requirements, and audit trail capabilities","PoC 1 > Features and activities > Core integration workflows > bullet 5",DONE,"docs/poc1-security-assessment.md — auth, traceability, data security, compliance"
P0-SC1,Phase 0 - PoC 1,Success Criteria,SC1,"All critical read/write operations for core agent functions are achievable via API","PoC 1 > Success criteria > bullet 1",DONE,"6 GET + 2 POST + match + availability + recommend endpoints"
P0-SC2,Phase 0 - PoC 1,Success Criteria,SC2,"Successfully calculate match scores for 30+ real shift scenarios using live data","PoC 1 > Success criteria > bullet 2",DONE,"32 scenarios across 6 categories; 32/32 expectations met"
P0-SC3,Phase 0 - PoC 1,Success Criteria,SC3,"Clear documentation of any required manual workarounds","PoC 1 > Success criteria > bullet 3",DONE,"docs/poc1-workarounds.md — 5 manual steps, 6 API gaps, 4 limitations"
